Started at Tue Dec 12 18:15:08 CET 2017
Step 28: r = 6.945342888000007E8 m, p = 7.521623144965E11Pa, L = 3.825884987458911E33 W, T = 7.521623144965E11 K 
Step 29: r = 6.944995134000007E8 m, p = 7.790057652698809E11Pa, L = 3.82588088582677E33 W, T = 7.790057652698809E11 K 
Step 30: r = 6.944647380000007E8 m, p = 8.058478719722227E11Pa, L = 3.825876784605362E33 W, T = 8.058478719722227E11 K 
Step 31: r = 6.944299626000007E8 m, p = 8.326886346035254E11Pa, L = 3.825872683794667E33 W, T = 8.326886346035254E11 K 
Step 32: r = 6.943951872000008E8 m, p = 8.595280531637891E11Pa, L = 3.8258685833946643E33 W, T = 8.595280531637891E11 K 
Step 33: r = 6.943604118000008E8 m, p = 8.863661276530138E11Pa, L = 3.8258644834053326E33 W, T = 8.863661276530138E11 K 
Step 34: r = 6.943256364000008E8 m, p = 9.132028580711996E11Pa, L = 3.8258603838266514E33 W, T = 9.132028580711996E11 K 
Step 35: r = 6.942908610000008E8 m, p = 9.400382444183463E11Pa, L = 3.8258562846586004E33 W, T = 9.400382444183463E11 K 
Step 36: r = 6.942560856000009E8 m, p = 9.66872286694454E11Pa, L = 3.825852185901159E33 W, T = 9.66872286694454E11 K 
Step 37: r = 6.942213102000009E8 m, p = 9.937049848995226E11Pa, L = 3.825848087554307E33 W, T = 9.937049848995226E11 K 
Step 38: r = 6.941865348000009E8 m, p = 1.0205363390335524E12Pa, L = 3.8258439896180234E33 W, T = 1.0205363390335524E12 K 
Step 39: r = 6.941517594000009E8 m, p = 1.0473663490965431E12Pa, L = 3.825839892092288E33 W, T = 1.0473663490965431E12 K 
Step 40: r = 6.94116984000001E8 m, p = 1.0741950150884948E12Pa, L = 3.82583579497708E33 W, T = 1.0741950150884948E12 K 
Step 41: r = 6.94082208600001E8 m, p = 1.1010223370094075E12Pa, L = 3.825831698272378E33 W, T = 1.1010223370094075E12 K 
Step 42: r = 6.94047433200001E8 m, p = 1.127848314859281E12Pa, L = 3.8258276019781634E33 W, T = 1.127848314859281E12 K 
Step 43: r = 6.94012657800001E8 m, p = 1.1546729486381155E12Pa, L = 3.8258235060944145E33 W, T = 1.1546729486381155E12 K 
Step 44: r = 6.93977882400001E8 m, p = 1.181496238345911E12Pa, L = 3.825819410621111E33 W, T = 1.181496238345911E12 K 
Step 45: r = 6.939431070000011E8 m, p = 1.2083181839826677E12Pa, L = 3.825815315558232E33 W, T = 1.2083181839826677E12 K 
Step 46: r = 6.939083316000011E8 m, p = 1.2351387855483855E12Pa, L = 3.8258112209057564E33 W, T = 1.2351387855483855E12 K 
Step 47: r = 6.938735562000011E8 m, p = 1.2619580430430642E12Pa, L = 3.8258071266636646E33 W, T = 1.2619580430430642E12 K 
Step 48: r = 6.938387808000011E8 m, p = 1.2887759564667039E12Pa, L = 3.8258030328319356E33 W, T = 1.2887759564667039E12 K 
Step 49: r = 6.938040054000012E8 m, p = 1.3155925258193044E12Pa, L = 3.825798939410549E33 W, T = 1.3155925258193044E12 K 
Step 50: r = 6.937692300000012E8 m, p = 1.342407751100866E12Pa, L = 3.825794846399485E33 W, T = 1.342407751100866E12 K 
Step 51: r = 6.937344546000012E8 m, p = 1.3692216323113884E12Pa, L = 3.8257907537987214E33 W, T = 1.3692216323113884E12 K 
Step 52: r = 6.936996792000012E8 m, p = 1.3960341694508718E12Pa, L = 3.8257866616082384E33 W, T = 1.3960341694508718E12 K 
